Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	org.freeplane.view.swing.map.NodeViewFactory::updateNoteViewer(org.freeplane.view.swing.map.NodeView, int, int, org.freeplane.view.swing.map.UpdateCause):void	org.freeplane.view.swing.map.NodeView	0/5	
Move Method	org.freeplane.view.swing.map.ZoomableLabelUI::layoutCompoundLabel(java.lang.String, javax.swing.Icon, java.awt.Rectangle, java.awt.Rectangle, java.awt.Rectangle, org.freeplane.view.swing.map.ZoomableLabel):void	org.freeplane.view.swing.map.ZoomableLabel	0/5	
Move Method	org.freeplane.features.filter.FilterController::saveConditions(org.freeplane.features.filter.FilterConditions, java.lang.String, int):void	org.freeplane.features.filter.FilterConditions	0/3	
Move Method	org.freeplane.features.icon.mindmapmode.MIconController::addIcon(org.freeplane.features.map.NodeModel, org.freeplane.features.icon.MindIcon, int):void	org.freeplane.features.map.NodeModel	0/3	
Move Method	org.freeplane.features.map.mindmapmode.ChangeNodeLevelController::canMoveTo(org.freeplane.features.map.NodeModel, org.freeplane.features.map.NodeModel, java.util.List<org.freeplane.features.map.NodeModel>, org.freeplane.features.map.NodeModel):boolean	org.freeplane.features.map.NodeModel	0/3	
Move Method	org.freeplane.features.nodestyle.mindmapmode.MNodeStyleController.StyleCopier::copy(org.freeplane.features.map.NodeModel, org.freeplane.features.map.NodeModel):void	org.freeplane.features.map.NodeModel	0/3	
Move Method	org.freeplane.main.application.Browser::openDocumentNotSupportedByDesktop(org.freeplane.core.util.Hyperlink):void	org.freeplane.core.util.Hyperlink	0/3	
Move Method	org.freeplane.view.swing.map.NodeViewLayoutHelper::isConsideredForAlignment(org.freeplane.view.swing.map.NodeView):boolean	org.freeplane.view.swing.map.NodeView	0/3	
Move Method	org.freeplane.features.attribute.AttributeBuilder::saveAttribute(org.freeplane.features.map.NodeModel, org.freeplane.core.io.ITreeWriter, org.freeplane.features.attribute.NodeAttributeTableModel, org.freeplane.features.attribute.Attribute):void	org.freeplane.features.attribute.Attribute	0/2	
Move Method	org.freeplane.features.attribute.AttributeController::createAttributeTableModel(org.freeplane.features.map.NodeModel):org.freeplane.features.attribute.NodeAttributeTableModel	org.freeplane.features.map.NodeModel	0/2	
Move Method	org.freeplane.features.attribute.mindmapmode.ImportAttributesDialog::createValueSubTrees(javax.swing.tree.DefaultMutableTreeNode, org.freeplane.features.attribute.AttributeRegistryElement, org.freeplane.features.attribute.AttributeRegistry):void	org.freeplane.features.attribute.AttributeRegistryElement	0/2	
Move Method	org.freeplane.features.export.mindmapmode.ExportDialog::getAcceptableFile(java.io.File, org.freeplane.core.ui.CaseSensitiveFileNameExtensionFilter):java.io.File	org.freeplane.core.ui.CaseSensitiveFileNameExtensionFilter	0/2	
Move Method	org.freeplane.features.format.FormatController::fixEmptyDataFormatProperty(org.freeplane.core.resources.ResourceController, java.lang.String, java.lang.String):void	org.freeplane.core.resources.ResourceController	0/2	
