Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	com.graphhopper.jsprit.core.algorithm.PrettyAlgorithmBuilder::searchSchrimpfAndRegister(com.graphhopper.jsprit.core.algorithm.VehicleRoutingAlgorithm):void	com.graphhopper.jsprit.core.algorithm.VehicleRoutingAlgorithm	0/2	
Move Method	com.graphhopper.jsprit.core.util.ManhattanCosts::calculateDistance(com.graphhopper.jsprit.core.util.Coordinate, com.graphhopper.jsprit.core.util.Coordinate):double	com.graphhopper.jsprit.core.util.Coordinate	0/2	
Move Method	com.graphhopper.jsprit.core.algorithm.InsertionInitialSolutionFactory::getUnassignedJobs(com.graphhopper.jsprit.core.problem.VehicleRoutingProblem):java.util.List<com.graphhopper.jsprit.core.problem.job.Job>	com.graphhopper.jsprit.core.problem.VehicleRoutingProblem	0/1	
Move Method	com.graphhopper.jsprit.core.algorithm.box.GreedySchrimpfFactory::createGreedyAlgorithmBuilder(com.graphhopper.jsprit.core.problem.VehicleRoutingProblem):com.graphhopper.jsprit.core.algorithm.box.Jsprit.Builder	com.graphhopper.jsprit.core.problem.VehicleRoutingProblem	0/1	
Move Method	com.graphhopper.jsprit.core.algorithm.box.SchrimpfFactory::createAlgorithm(com.graphhopper.jsprit.core.problem.VehicleRoutingProblem):com.graphhopper.jsprit.core.algorithm.VehicleRoutingAlgorithm	com.graphhopper.jsprit.core.problem.VehicleRoutingProblem	0/1	
Move Method	com.graphhopper.jsprit.core.algorithm.recreate.RegretInsertionConcurrentFast::getInitialVehicleIds(com.graphhopper.jsprit.core.problem.VehicleRoutingProblem):java.util.Set<java.lang.String>	com.graphhopper.jsprit.core.problem.VehicleRoutingProblem	0/1	
Move Method	com.graphhopper.jsprit.core.algorithm.recreate.RegretInsertionFast::getInitialVehicleIds(com.graphhopper.jsprit.core.problem.VehicleRoutingProblem):java.util.Set<java.lang.String>	com.graphhopper.jsprit.core.problem.VehicleRoutingProblem	0/1	
Move Method	com.graphhopper.jsprit.core.algorithm.state.StateManager::getNuVehicleTypes(com.graphhopper.jsprit.core.problem.VehicleRoutingProblem):int	com.graphhopper.jsprit.core.problem.VehicleRoutingProblem	0/1	
Move Method	com.graphhopper.jsprit.core.algorithm.recreate.AdditionalAccessEgressCalculator::getCosts(com.graphhopper.jsprit.core.problem.misc.JobInsertionContext):double	com.graphhopper.jsprit.core.problem.misc.JobInsertionContext	1/4	
Move Method	com.graphhopper.jsprit.core.algorithm.VehicleRoutingAlgorithm::log(com.graphhopper.jsprit.core.problem.solution.VehicleRoutingProblemSolution):void	com.graphhopper.jsprit.core.problem.solution.VehicleRoutingProblemSolution	1/3	
Move Method	com.graphhopper.jsprit.core.problem.job.Service.Builder::addAllSizeDimensions(com.graphhopper.jsprit.core.problem.Capacity):com.graphhopper.jsprit.core.problem.job.Service.Builder<T>	com.graphhopper.jsprit.core.problem.Capacity	1/2	
Move Method	com.graphhopper.jsprit.core.problem.job.Shipment.Builder::addAllSizeDimensions(com.graphhopper.jsprit.core.problem.Capacity):com.graphhopper.jsprit.core.problem.job.Shipment.Builder	com.graphhopper.jsprit.core.problem.Capacity	1/2	
Move Method	com.graphhopper.jsprit.core.problem.solution.route.VehicleRoute.Builder::setDepartureTime(double):com.graphhopper.jsprit.core.problem.solution.route.VehicleRoute.Builder	com.graphhopper.jsprit.core.problem.solution.route.activity.Start	1/2	
Move Method	com.graphhopper.jsprit.core.algorithm.VehicleRoutingAlgorithm::verifyAndAdaptSolution(com.graphhopper.jsprit.core.problem.solution.VehicleRoutingProblemSolution):void	com.graphhopper.jsprit.core.problem.solution.VehicleRoutingProblemSolution	2/3	
Move Method	com.graphhopper.jsprit.core.algorithm.box.Jsprit::configureModule(com.graphhopper.jsprit.core.algorithm.module.RuinAndRecreateModule):com.graphhopper.jsprit.core.algorithm.SearchStrategyModule	com.graphhopper.jsprit.core.algorithm.module.RuinAndRecreateModule	2/3	
Move Method	com.graphhopper.jsprit.core.algorithm.recreate.Inserter::insertJob(com.graphhopper.jsprit.core.problem.job.Job, com.graphhopper.jsprit.core.algorithm.recreate.InsertionData, com.graphhopper.jsprit.core.problem.solution.route.VehicleRoute):void	com.graphhopper.jsprit.core.algorithm.recreate.listener.InsertionListeners	2/3	
