Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	org.isf.examination.service.ExaminationOperations::getFromLastPatientExamination(org.isf.examination.model.PatientExamination):org.isf.examination.model.PatientExamination	org.isf.examination.model.PatientExamination	0/15	
Move Method	org.isf.lab.manager.LabManager::validateLaboratory(org.isf.lab.model.Laboratory):void	org.isf.lab.model.Laboratory	0/11	
Move Method	org.isf.opd.manager.OpdBrowserManager::validateOpd(org.isf.opd.model.Opd, boolean):void	org.isf.opd.model.Opd	0/9	
Move Method	org.isf.patvac.manager.PatVacManager::validatePatientVaccine(org.isf.patvac.model.PatientVaccine):void	org.isf.patvac.model.PatientVaccine	0/6	
Move Method	org.isf.accounting.manager.BillBrowserManager::validateBill(org.isf.accounting.model.Bill, java.util.List<org.isf.accounting.model.BillItems>, java.util.List<org.isf.accounting.model.BillPayments>):void	org.isf.accounting.model.Bill	0/5	
Move Method	org.isf.therapy.manager.TherapyManager::prepareSmsFromTherapy(org.isf.therapy.model.Therapy):java.lang.String	org.isf.therapy.model.Therapy	0/5	
Move Method	org.isf.lab.manager.LabManager::setPatientConsistency(org.isf.lab.model.Laboratory):void	org.isf.lab.model.Laboratory	0/4	
Move Method	org.isf.malnutrition.manager.MalnutritionManager::validateMalnutrition(org.isf.malnutrition.model.Malnutrition):void	org.isf.malnutrition.model.Malnutrition	0/4	
Move Method	org.isf.priceslist.manager.PriceListManager::validatePriceList(org.isf.priceslist.model.PriceList):void	org.isf.priceslist.model.PriceList	0/4	
Move Method	org.isf.medicals.manager.MedicalBrowsingManager::checkMedicalCommon(org.isf.medicals.model.Medical):java.util.List<org.isf.utils.exception.model.OHExceptionMessage>	org.isf.medicals.model.Medical	0/3	
Move Method	org.isf.medicalstockward.manager.MovWardBrowserManager::validateMovementWard(org.isf.medicalstockward.model.MovementWard):void	org.isf.medicalstockward.model.MovementWard	0/3	
Move Method	org.isf.opd.manager.OpdBrowserManager::setPatientConsistency(org.isf.opd.model.Opd):void	org.isf.opd.model.Opd	0/3	
Move Method	org.isf.priceslist.manager.PriceListManager::convertPrice(org.isf.priceslist.model.PriceList, java.lang.Iterable<org.isf.priceslist.model.Price>):java.util.List<org.isf.serviceprinting.print.PriceForPrint>	org.isf.priceslist.model.PriceList	0/3	
Move Method	org.isf.examination.manager.ExaminationBrowserManager::formatLastNote(org.isf.examination.model.PatientExamination):java.lang.String	org.isf.examination.model.PatientExamination	0/2	
Move Method	org.isf.patient.manager.PatientBrowserManager::checkAge(org.isf.patient.model.Patient):boolean	org.isf.patient.model.Patient	0/2	
