com.google.refine.operations.recon.ExtendDataOperation.ExtendDataProcess	[com.google.refine.operations.recon.ExtendDataOperation.ExtendDataProcess::com.google.refine.model.Project _project, com.google.refine.operations.recon.ExtendDataOperation.ExtendDataProcess::int _cellIndex, com.google.refine.operations.recon.ExtendDataOperation.ExtendDataProcess::com.google.refine.model.recon.ReconciledDataExtensionJob _job, com.google.refine.operations.recon.ExtendDataOperation.ExtendDataProcess::extendRows(java.util.List<java.lang.Integer>, java.util.List<com.google.refine.model.recon.ReconciledDataExtensionJob.DataExtension>, int, int, java.util.Map<java.lang.String,com.google.refine.model.ReconCandidate>):int]
com.google.refine.clustering.binning.Metaphone3	[com.google.refine.clustering.binning.Metaphone3::int m_metaphLength, com.google.refine.clustering.binning.Metaphone3::SetKeyLength(int):boolean, com.google.refine.clustering.binning.Metaphone3::int MAX_KEY_ALLOCATION, com.google.refine.clustering.binning.Metaphone3::GetMaximumKeyLength():int]
com.google.refine.clustering.binning.Metaphone3	[com.google.refine.clustering.binning.Metaphone3::java.lang.StringBuffer m_primary, com.google.refine.clustering.binning.Metaphone3::java.lang.StringBuffer m_secondary, com.google.refine.clustering.binning.Metaphone3::GetAlternateMetaph():java.lang.String, com.google.refine.clustering.binning.Metaphone3::MetaphAdd(java.lang.String):void, com.google.refine.clustering.binning.Metaphone3::MetaphAdd(java.lang.String, java.lang.String):void, com.google.refine.clustering.binning.Metaphone3::GetMetaph():java.lang.String]
com.google.refine.clustering.binning.Metaphone3	[com.google.refine.clustering.binning.Metaphone3::int m_length, com.google.refine.clustering.binning.Metaphone3::boolean m_encodeExact, com.google.refine.clustering.binning.Metaphone3::SetWord(java.lang.String):void, com.google.refine.clustering.binning.Metaphone3::CharAt(int):char, com.google.refine.clustering.binning.Metaphone3::StringAt(int, int, java.lang.String[]):boolean, com.google.refine.clustering.binning.Metaphone3::E_Pronouncing_Suffix(int):boolean, com.google.refine.clustering.binning.Metaphone3::IsVowel(int):boolean, com.google.refine.clustering.binning.Metaphone3::SkipVowels(int):int, com.google.refine.clustering.binning.Metaphone3::MetaphAddExactApprox(java.lang.String, java.lang.String):void, com.google.refine.clustering.binning.Metaphone3::Encode_DG():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_X_Special_Cases():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_DT_DD():boolean, com.google.refine.clustering.binning.Metaphone3::AdvanceCounter(int, int):void, com.google.refine.clustering.binning.Metaphone3::O_Silent():boolean, com.google.refine.clustering.binning.Metaphone3::Test_Silent_MB_2():boolean, com.google.refine.clustering.binning.Metaphone3::Test_MN():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_CO_To_S():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_SIA():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_CI():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_SU():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_T_Initial():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_TUR_TIU_Suffixes():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_TI():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_CE():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_CS():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_Greek_CH_Initial():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_CK_CG_CQ():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_German_J():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_Spanish_J_2():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_SEA():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_CC():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_GG():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_LL_As_Vowel():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_N():void, com.google.refine.clustering.binning.Metaphone3::Encode_NCE():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_PH():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_SCH():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_F():void, com.google.refine.clustering.binning.Metaphone3::Encode_SSIO():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_SIO():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_SEA_SUI_SIER():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_TUE_TEU_TEOU_TUL_TIE():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_TH():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_WH():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_ZZ():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_Germanic_CH_To_K():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_ARCH():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_English_CH_To_K():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_ISTEN():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_Spanish_J():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_German_Z():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_CA_To_S():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_CHAE():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_CH_To_H():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_SUR():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_SS():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_CH_To_X():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_LELY_To_L():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_Silent_L_In_LM():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_SH():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_TH_Pronounced_Separately():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_French_X_Final():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_Greek_CH_Non_Initial():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_GH_To_J():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_J_As_Vowel():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_Silent_French_S_Final():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_GH_To_H():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_SKJ():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_Silent_GH():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_Silent_G():boolean, com.google.refine.clustering.binning.Metaphone3::Internal_Hard_G_Other():boolean, com.google.refine.clustering.binning.Metaphone3::Internal_Hard_GEN_GIN_GET_GIT():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_LL_As_Vowel_Special_Cases():boolean, com.google.refine.clustering.binning.Metaphone3::E_Silent():boolean, com.google.refine.clustering.binning.Metaphone3::E_Pronounced_At_End():boolean, com.google.refine.clustering.binning.Metaphone3::E_Silent_Suffix(int):boolean, com.google.refine.clustering.binning.Metaphone3::Encode_Spanish_OJ_UJ():boolean, com.google.refine.clustering.binning.Metaphone3::Interpolate_Vowel_When_Cons_L_At_End():void, com.google.refine.clustering.binning.Metaphone3::Encode_French_AULT():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_MAC():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_PSYCH():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_PSALM():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_MR_And_MRS():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_PT():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_Q():void, com.google.refine.clustering.binning.Metaphone3::Encode_RZ():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_TUN_TUL_TUA_TUO():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_TIENT():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_X_Vowel():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_D_To_J():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_Eastern_European_W():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_GL():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_GER():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_GEL():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_Vowels():void, com.google.refine.clustering.binning.Metaphone3::Encode_GH_To_F():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_Initial_HU_HW():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_Vowel_LE_Transposition(int):boolean, com.google.refine.clustering.binning.Metaphone3::Encode_Vowel_Preserve_Vowel_After_L(int):boolean, com.google.refine.clustering.binning.Metaphone3::Encode_Vowel_RE_Transposition():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_STL():boolean, com.google.refine.clustering.binning.Metaphone3::E_Pronounced_Exceptions():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_British_Silent_CE():boolean, com.google.refine.clustering.binning.Metaphone3::Internal_Hard_G_Open_Syllable():boolean, com.google.refine.clustering.binning.Metaphone3::Internal_Hard_NG():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_French_EUIL():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_French_OULX():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_COUP():boolean, com.google.refine.clustering.binning.Metaphone3::Test_Silent_R():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_Silent_French_T():boolean, com.google.refine.clustering.binning.Metaphone3::Skip_Silent_UE():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_Silent_B():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_CZ():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_DJ():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_UGHT():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_Initial_HS():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_COLONEL():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_MPT():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_PNEUM():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_SJ():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_Christmas():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_STHM():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_Sugar():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_SC():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_TCH():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_TSCH():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_TZSCH():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_TTH():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_WR():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_Initial_X():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_Greek_X():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_X_To_H():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_CCIA():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_Latinate_Suffixes():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_Anglicisations():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_ZU_ZIER_ZS():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_DOUS():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_GA_To_J():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_GK():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_ZH():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_GH_After_Consonant():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_Initial_GH():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_GH_H_Part_Of_Other_Word():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_Silent_L_In_OULD():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_GH_Special_Cases():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_GN():boolean, com.google.refine.clustering.binning.Metaphone3::Initial_G_Soft():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_NGER():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_Non_Initial_G_Front_Vowel():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_Initial_Silent_H():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_Non_Initial_Silent_H():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_H_Pronounced():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_J_To_J():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_K():void, com.google.refine.clustering.binning.Metaphone3::Encode_Silent_K():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_PPH():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_V():void, com.google.refine.clustering.binning.Metaphone3::Encode_WITZ_WICZ():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_Initial_W_Vowel():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_R():void, com.google.refine.clustering.binning.Metaphone3::Encode_Z():void, com.google.refine.clustering.binning.Metaphone3::Silent_Internal_E():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_B():void, com.google.refine.clustering.binning.Metaphone3::Encode_Initial_G_Front_Vowel():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_E_Pronounced():void, com.google.refine.clustering.binning.Metaphone3::SlavoGermanic():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_Silent_C_At_Beginning():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_Silent_CH():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_Silent_C():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_Silent_D():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_Silent_G_At_Beginning():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_Silent_L_In_LK_LV():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_Silent_M_At_Beginning():boolean, com.google.refine.clustering.binning.Metaphone3::Test_Silent_MB_1():boolean, com.google.refine.clustering.binning.Metaphone3::Test_Pronounced_MB():boolean, com.google.refine.clustering.binning.Metaphone3::Test_Pronounced_MB_2():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_Silent_P_At_Beginning():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_RPS():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_PB():void, com.google.refine.clustering.binning.Metaphone3::Encode_Silent_French_S_Internal():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_ISL():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_Silent_W_At_Beginning():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_French_EZ():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_C_Front_Vowel():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_D():void, com.google.refine.clustering.binning.Metaphone3::Encode_W():void, com.google.refine.clustering.binning.Metaphone3::Internal_Hard_G():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_Other_J():void, com.google.refine.clustering.binning.Metaphone3::Encode_CH():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_GH():boolean, com.google.refine.clustering.binning.Metaphone3::java.lang.StringBuffer m_primary, com.google.refine.clustering.binning.Metaphone3::java.lang.StringBuffer m_secondary, com.google.refine.clustering.binning.Metaphone3::GetAlternateMetaph():java.lang.String, com.google.refine.clustering.binning.Metaphone3::MetaphAdd(java.lang.String):void, com.google.refine.clustering.binning.Metaphone3::MetaphAdd(java.lang.String, java.lang.String):void, com.google.refine.clustering.binning.Metaphone3::GetMetaph():java.lang.String, com.google.refine.clustering.binning.Metaphone3::Encode_MB():void, com.google.refine.clustering.binning.Metaphone3::Encode_X():void, com.google.refine.clustering.binning.Metaphone3::MetaphAddExactApprox(java.lang.String, java.lang.String, java.lang.String, java.lang.String):void, com.google.refine.clustering.binning.Metaphone3::Encode_LL_As_Vowel_Cases():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_Special_SW():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_C():void, com.google.refine.clustering.binning.Metaphone3::Front_Vowel(int):boolean, com.google.refine.clustering.binning.Metaphone3::IsVowel(char):boolean, com.google.refine.clustering.binning.Metaphone3::Hard_GE_At_End():boolean, com.google.refine.clustering.binning.Metaphone3::Names_Beginning_With_SW_That_Get_Alt_SV():boolean, com.google.refine.clustering.binning.Metaphone3::Names_Beginning_With_SW_That_Get_Alt_XV():boolean, com.google.refine.clustering.binning.Metaphone3::Germanic_Or_Slavic_Name_Beginning_With_W():boolean, com.google.refine.clustering.binning.Metaphone3::Names_Beginning_With_J_That_Get_Alt_Y():boolean, com.google.refine.clustering.binning.Metaphone3::Encode_T():void, com.google.refine.clustering.binning.Metaphone3::java.lang.String m_inWord, com.google.refine.clustering.binning.Metaphone3::Encode_H():void, com.google.refine.clustering.binning.Metaphone3::Encode_M():void, com.google.refine.clustering.binning.Metaphone3::boolean flag_AL_inversion, com.google.refine.clustering.binning.Metaphone3::RootOrInflections(java.lang.String, java.lang.String):boolean, com.google.refine.clustering.binning.Metaphone3::Encode_G():void, com.google.refine.clustering.binning.Metaphone3::Encode_LE_Cases(int):void, com.google.refine.clustering.binning.Metaphone3::int m_current, com.google.refine.clustering.binning.Metaphone3::int m_last, com.google.refine.clustering.binning.Metaphone3::Encode_S():void]
com.google.refine.importers.WikitextImporter.WikitextTableVisitor	[com.google.refine.importers.WikitextImporter.WikitextTableVisitor::java.lang.String lastExternalLink, com.google.refine.importers.WikitextImporter.WikitextTableVisitor::java.util.regex.Pattern urlPattern, com.google.refine.importers.WikitextImporter.WikitextTableVisitor::visit(org.sweble.wikitext.parser.nodes.WtTagExtensionBody):void]
com.google.refine.importers.WikitextImporter.WikitextTableVisitor	[com.google.refine.importers.WikitextImporter.WikitextTableVisitor::java.util.Map<java.lang.String,java.lang.String> namedReferences, com.google.refine.importers.WikitextImporter.WikitextTableVisitor::visit(org.sweble.wikitext.parser.nodes.WtTagExtension):void, com.google.refine.importers.WikitextImporter.WikitextTableVisitor::java.lang.String currentReference, com.google.refine.importers.WikitextImporter.WikitextTableVisitor::java.lang.String lastExternalLink, com.google.refine.importers.WikitextImporter.WikitextTableVisitor::java.util.regex.Pattern urlPattern, com.google.refine.importers.WikitextImporter.WikitextTableVisitor::visit(org.sweble.wikitext.parser.nodes.WtTagExtensionBody):void, com.google.refine.importers.WikitextImporter.WikitextTableVisitor::boolean includeRawTemplates, com.google.refine.importers.WikitextImporter.WikitextTableVisitor::visit(org.sweble.wikitext.parser.nodes.WtImageLink):void, com.google.refine.importers.WikitextImporter.WikitextTableVisitor::visit(org.sweble.wikitext.parser.nodes.WtTemplate):void, com.google.refine.importers.WikitextImporter.WikitextTableVisitor::java.lang.StringBuilder xmlAttrStringBuilder, com.google.refine.importers.WikitextImporter.WikitextTableVisitor::writeText(java.lang.String):void, com.google.refine.importers.WikitextImporter.WikitextTableVisitor::java.lang.String currentReferenceName, com.google.refine.importers.WikitextImporter.WikitextTableVisitor::visit(org.sweble.wikitext.parser.nodes.WtTemplateArgument):void, com.google.refine.importers.WikitextImporter.WikitextTableVisitor::java.lang.StringBuilder cellStringBuilder, com.google.refine.importers.WikitextImporter.WikitextTableVisitor::renderCellAsString(org.sweble.wikitext.parser.nodes.WtNode):java.lang.String, com.google.refine.importers.WikitextImporter.WikitextTableVisitor::java.lang.String currentInternalLink, com.google.refine.importers.WikitextImporter.WikitextTableVisitor::visit(org.sweble.wikitext.parser.nodes.WtInternalLink):void, com.google.refine.importers.WikitextImporter.WikitextTableVisitor::java.util.List<java.lang.String> internalLinksInCell, com.google.refine.importers.WikitextImporter.WikitextTableVisitor::visit(org.sweble.wikitext.parser.nodes.WtLinkTitle.WtNoLinkTitle):void, com.google.refine.importers.WikitextImporter.WikitextTableVisitor::java.lang.String currentExternalLink, com.google.refine.importers.WikitextImporter.WikitextTableVisitor::visit(org.sweble.wikitext.parser.nodes.WtExternalLink):void, com.google.refine.importers.WikitextImporter.WikitextTableVisitor::visit(org.sweble.wikitext.parser.nodes.WtXmlAttribute):void, com.google.refine.importers.WikitextImporter.WikitextTableVisitor::java.lang.String currentXmlAttr, com.google.refine.importers.WikitextImporter.WikitextTableVisitor::visit(org.sweble.wikitext.parser.nodes.WtName):void, com.google.refine.importers.WikitextImporter.WikitextTableVisitor::int colspan, com.google.refine.importers.WikitextImporter.WikitextTableVisitor::int rowspan]
com.google.refine.importers.WikitextImporter.WikitextTableVisitor	[com.google.refine.importers.WikitextImporter.WikitextTableVisitor::boolean includeRawTemplates, com.google.refine.importers.WikitextImporter.WikitextTableVisitor::visit(org.sweble.wikitext.parser.nodes.WtImageLink):void, com.google.refine.importers.WikitextImporter.WikitextTableVisitor::visit(org.sweble.wikitext.parser.nodes.WtTemplate):void, com.google.refine.importers.WikitextImporter.WikitextTableVisitor::java.lang.StringBuilder xmlAttrStringBuilder, com.google.refine.importers.WikitextImporter.WikitextTableVisitor::writeText(java.lang.String):void, com.google.refine.importers.WikitextImporter.WikitextTableVisitor::java.lang.String currentReferenceName, com.google.refine.importers.WikitextImporter.WikitextTableVisitor::visit(org.sweble.wikitext.parser.nodes.WtTemplateArgument):void]
com.google.refine.importers.WikitextImporter.WikitextTableVisitor	[com.google.refine.importers.WikitextImporter.WikitextTableVisitor::java.util.Map<java.lang.String,java.lang.String> namedReferences, com.google.refine.importers.WikitextImporter.WikitextTableVisitor::visit(org.sweble.wikitext.parser.nodes.WtTagExtension):void, com.google.refine.importers.WikitextImporter.WikitextTableVisitor::java.lang.String currentReference, com.google.refine.importers.WikitextImporter.WikitextTableVisitor::java.lang.String lastExternalLink, com.google.refine.importers.WikitextImporter.WikitextTableVisitor::java.util.regex.Pattern urlPattern, com.google.refine.importers.WikitextImporter.WikitextTableVisitor::visit(org.sweble.wikitext.parser.nodes.WtTagExtensionBody):void]
com.google.refine.importers.WikitextImporter.WikitextTableVisitor	[com.google.refine.importers.WikitextImporter.WikitextTableVisitor::java.lang.String currentInternalLink, com.google.refine.importers.WikitextImporter.WikitextTableVisitor::visit(org.sweble.wikitext.parser.nodes.WtInternalLink):void, com.google.refine.importers.WikitextImporter.WikitextTableVisitor::java.util.List<java.lang.String> internalLinksInCell, com.google.refine.importers.WikitextImporter.WikitextTableVisitor::visit(org.sweble.wikitext.parser.nodes.WtLinkTitle.WtNoLinkTitle):void, com.google.refine.importers.WikitextImporter.WikitextTableVisitor::java.lang.String currentExternalLink]
com.google.refine.importers.WikitextImporter.WikitextTableVisitor	[com.google.refine.importers.WikitextImporter.WikitextTableVisitor::java.lang.StringBuilder xmlAttrStringBuilder, com.google.refine.importers.WikitextImporter.WikitextTableVisitor::writeText(java.lang.String):void, com.google.refine.importers.WikitextImporter.WikitextTableVisitor::java.lang.String currentReferenceName, com.google.refine.importers.WikitextImporter.WikitextTableVisitor::visit(org.sweble.wikitext.parser.nodes.WtTemplateArgument):void]
com.google.refine.operations.column.ColumnAdditionByFetchingURLsOperation.ColumnAdditionByFetchingURLsProcess	[com.google.refine.operations.column.ColumnAdditionByFetchingURLsOperation.ColumnAdditionByFetchingURLsProcess::com.google.refine.model.Project _project, com.google.refine.operations.column.ColumnAdditionByFetchingURLsOperation.ColumnAdditionByFetchingURLsProcess::com.google.refine.expr.Evaluable _eval, com.google.refine.operations.column.ColumnAdditionByFetchingURLsOperation.ColumnAdditionByFetchingURLsProcess::createRowVisitor(java.util.List<com.google.refine.model.changes.CellAtRow>):com.google.refine.browsing.RowVisitor]
