project,class_name,method_name,extract_lines,identifier,,,,,,,,,,,,,,,,,,,,,
freeplane,RotatableLabelUI,paint,14-26,"public void paint(Graphics g, JComponent c)",,,,,,,,,,,,,,,,,,,,,
freeplane,JDayChooser,scheduleNextUpdateForTomorrow,1-14,private void scheduleNextUpdateForTomorrow(),,,,,,,,,,,,,,,,,,,,,
freeplane,JDayChooser,setDay,1-11,public void setDay(int d),,,,,,,,,,,,,,,,,,,,,
freeplane,JCalendar,propertyChange,1-14,public void propertyChange(final PropertyChangeEvent evt),,,,,,,,,,,,,,,,,,,,,
freeplane,JEditorPopupMenu,menuSelectionChanged,1-10,public void menuSelectionChanged(boolean isIncluded),,,,,,,,,,,,,,,,,,,,,
freeplane,JDayChooser,updateDays,6-11,protected void updateDays(),,,,,,,,,,,,,,,,,,,,,
freeplane,JSpinField,caretUpdate,1-9,public void caretUpdate(final CaretEvent e),,,,,,,,,,,,,,,,,,,,,
freeplane,JInfoPanel,setDate,1-6,public void setDate(final Calendar calendar),,,,,,,,,,,,,,,,,,,,,
freeplane,JCalendar,setCalendar,1-3;6-8,public void setCalendar(final Calendar c),,,,,,,,,,,,,,,,,,,,,
freeplane,JDayChooser,drawWeeks,3-8,protected void drawWeeks(),,,,,,,,,,,,,,,,,,,,,
freeplane,JDayChooser,updateDayNames,18-23,private void updateDayNames(),,,,,,,,,,,,,,,,,,,,,
freeplane,JDayChooser,init,4-6,protected void init(),,,,,,,,,,,,,,,,,,,,,
freeplane,JDayChooser,main,1-2;4,public static void main(final String[] s),,,,,,,,,,,,,,,,,,,,,
freeplane,JDayChooser,setCalendar,5-7,public void setCalendar(final Calendar calendar),,,,,,,,,,,,,,,,,,,,,
freeplane,JMonthChooser,updateUI,3-8,public void updateUI(),,,,,,,,,,,,,,,,,,,,,
freeplane,JMonthChooser,initNames,4-6;11,public void initNames(),,,,,,,,,,,,,,,,,,,,,
freeplane,JMonthChooser,itemStateChanged,2-5,public void itemStateChanged(final ItemEvent e),,,,,,,,,,,,,,,,,,,,,
freeplane,JTripleCalendar,main,1;2;5,public static void main(final String[] args),,,,,,,,,,,,,,,,,,,,,
freeplane,JMonthChooser,stateChanged,11-13;22-24,public void stateChanged(final ChangeEvent e),,,,,,,,,,,,,,,,,,,,,
freeplane,JCalendar,setBackground,2-4,public void setBackground(final Color bg),,,,,,,,,,,,,,,,,,,,,
freeplane,JDayChooser,updateUI,3-5,public void updateUI(),,,,,,,,,,,,,,,,,,,,,
freeplane,JMonthChooser,setMonth,9-11,"private void setMonth(final int newMonth, final boolean select)",,,,,,,,,,,,,,,,,,,,,
freeplane,JMonthChooser,setFont,1-3,public void setFont(final Font font),,,,,,,,,,,,,,,,,,,,,
freeplane,JSpinField,setEnabled,8-10,public void setEnabled(final boolean enabled),,,,,,,,,,,,,,,,,,,,,
freeplane,JTimeChooser,setCalendar,2-3,void setCalendar(Calendar calendar),,,,,,,,,,,,,,,,,,,,,
freeplane,JYearChooser,setYear,2-4,public void setYear(final int y),,,,,,,,,,,,,,,,,,,,,
freeplane,JCalendar,setForeground,3-5,public void setForeground(final Color fg),,,,,,,,,,,,,,,,,,,,,
freeplane,JCalendar,setEnabled,5,public void setEnabled(final boolean enabled),,,,,,,,,,,,,,,,,,,,,
freeplane,JCalendar,setFont,5,public void setFont(final Font font),,,,,,,,,,,,,,,,,,,,,
freeplane,JSpinField,setValue,13,"protected void setValue(final int newValue, final boolean updateTextField, final boolean firePropertyChange)",,,,,,,,,,,,,,,,,,,,,
freeplane,stateChanged,stateChanged,1-3;5-8;10-13;18-19;21-24,public void stateChanged(final ChangeEvent e),,,,,,,,,,,,,,,,,,,,,
freeplane,JDayChooser,setCalendar,1-2,public void setCalendar(final Calendar calendar),,,,,,,,,,,,,,,,,,,,,
freeplane,ScaledEditorKit,createDefaultDocument,1-14,public Document createDefaultDocument(JLabel c),,,,,,,,,,,,,,,,,,,,,
freeplane,StyleSheetConfigurer,resetStyles,1-7;13-19,"public static void resetStyles(StyleSheet parent,  int keptChildCount)",,,,,,,,,,,,,,,,,,,,,
freeplane,ScaledHTML,updateRendererOnPropertyChange,1-8;12-15,"public static void updateRendererOnPropertyChange(JLabel lbl, String propertyName)",,,,,,,,,,,,,,,,,,,,,
freeplane,ScaledHTML,updateRenderer,1;4-9,"public static void updateRenderer(JLabel c, String text)",,,,,,,,,,,,,,,,,,,,,
